CALCULATOR;BASE;WIDTH;HEIGHT;ITERS;TIME
RefMandelCalculator;512;1536;1024;100;118
RefMandelCalculator;512;1536;1024;100;119
RefMandelCalculator;512;1536;1024;100;118
LineMandelCalculator;512;1536;1024;100;10
LineMandelCalculator;512;1536;1024;100;11
LineMandelCalculator;512;1536;1024;100;11
RefMandelCalculator;1024;3072;2048;100;474
RefMandelCalculator;1024;3072;2048;100;473
RefMandelCalculator;1024;3072;2048;100;474
LineMandelCalculator;1024;3072;2048;100;67
LineMandelCalculator;1024;3072;2048;100;66
LineMandelCalculator;1024;3072;2048;100;66
BatchMandelCalculator;512;1536;1024;100;17
BatchMandelCalculator;512;1536;1024;100;17
BatchMandelCalculator;512;1536;1024;100;17
RefMandelCalculator;2048;6144;4096;100;1888
RefMandelCalculator;2048;6144;4096;100;1887
RefMandelCalculator;2048;6144;4096;100;1886
LineMandelCalculator;2048;6144;4096;100;268
LineMandelCalculator;2048;6144;4096;100;268
LineMandelCalculator;2048;6144;4096;100;268
BatchMandelCalculator;1024;3072;2048;100;62
BatchMandelCalculator;1024;3072;2048;100;61
BatchMandelCalculator;1024;3072;2048;100;61
RefMandelCalculator;4096;12288;8192;100;7529
RefMandelCalculator;4096;12288;8192;100;7532
RefMandelCalculator;4096;12288;8192;100;7531
LineMandelCalculator;4096;12288;8192;100;1080
LineMandelCalculator;4096;12288;8192;100;1079
LineMandelCalculator;4096;12288;8192;100;1080
BatchMandelCalculator;2048;6144;4096;100;230
BatchMandelCalculator;2048;6144;4096;100;229
BatchMandelCalculator;2048;6144;4096;100;225
RefMandelCalculator;512;1536;1024;1000;1042
RefMandelCalculator;512;1536;1024;1000;1041
RefMandelCalculator;512;1536;1024;1000;1041
LineMandelCalculator;512;1536;1024;1000;71
LineMandelCalculator;512;1536;1024;1000;71
LineMandelCalculator;512;1536;1024;1000;71
BatchMandelCalculator;4096;12288;8192;100;858
BatchMandelCalculator;4096;12288;8192;100;975
RefMandelCalculator;1024;3072;2048;1000;4168
RefMandelCalculator;1024;3072;2048;1000;4169
RefMandelCalculator;1024;3072;2048;1000;4170
BatchMandelCalculator;4096;12288;8192;100;847
LineMandelCalculator;1024;3072;2048;1000;495
LineMandelCalculator;1024;3072;2048;1000;494
LineMandelCalculator;1024;3072;2048;1000;494
BatchMandelCalculator;512;1536;1024;1000;108
RefMandelCalculator;2048;6144;4096;1000;16673
BatchMandelCalculator;512;1536;1024;1000;109
RefMandelCalculator;2048;6144;4096;1000;16668
RefMandelCalculator;2048;6144;4096;1000;16676
BatchMandelCalculator;512;1536;1024;1000;108
LineMandelCalculator;2048;6144;4096;1000;1970
LineMandelCalculator;2048;6144;4096;1000;1971
LineMandelCalculator;2048;6144;4096;1000;1969
BatchMandelCalculator;1024;3072;2048;1000;381
RefMandelCalculator;4096;12288;8192;1000;66665
BatchMandelCalculator;1024;3072;2048;1000;420
RefMandelCalculator;4096;12288;8192;1000;66692
RefMandelCalculator;4096;12288;8192;1000;66689
BatchMandelCalculator;1024;3072;2048;1000;407
LineMandelCalculator;4096;12288;8192;1000;7927
LineMandelCalculator;4096;12288;8192;1000;7943
BatchMandelCalculator;2048;6144;4096;1000;1334
LineMandelCalculator;4096;12288;8192;1000;8149
BatchMandelCalculator;2048;6144;4096;1000;1305
BatchMandelCalculator;2048;6144;4096;1000;1317
BatchMandelCalculator;4096;12288;8192;1000;4544
BatchMandelCalculator;4096;12288;8192;1000;4552
BatchMandelCalculator;4096;12288;8192;1000;4441
